time,amount
9:25:00 AM,1
5:01:00 PM,1
12:20:00 PM,1
10:03:00 AM,1
12:06:00 PM,1
6:01:00 PM,1
12:51:00 AM,1
7:36:00 AM,1
9:19:00 AM,1
5:57:00 PM,1
7:52:00 AM,1
6:47:00 PM,1
2:16:00 AM,1
5:13:00 PM,1
8:19:00 PM,1
1:11:00 PM,1
3:22:00 AM,1
5:33:00 AM,1
4:16:00 AM,1
6:14:00 AM,1
4:56:00 PM,1
4:02:00 AM,1
1:23:00 PM,1
6:38:00 AM,1
6:01:00 AM,1
4:37:00 PM,1
12:17:00 PM,1
4:08:00 AM,1
4:13:00 AM,1
5:41:00 PM,1
12:27:00 AM,1
6:59:00 PM,1
3:44:00 AM,1
3:42:00 PM,1
8:39:00 AM,1
12:55:00 PM,1
8:36:00 PM,1
1:03:00 AM,1
2:34:00 PM,1
4:43:00 PM,1
12:06:00 AM,1
10:58:00 AM,1
2:37:00 PM,1
10:29:00 AM,1
8:16:00 AM,1
6:03:00 AM,1
1:49:00 AM,1
1:24:00 PM,1
2:58:00 PM,1
5:04:00 AM,1
1:31:00 AM,1
11:42:00 AM,1
10:47:00 AM,1
6:36:00 PM,1
9:51:00 AM,1
